CD_MUN;NM_MUN;CD_RGI;NM_RGI;CD_RGINT;NM_RGINT;CD_UF;NM_UF;CD_REGIAO;NM_REGIAO;CD_CONCURB;NM_CONCURB;AREA_KM2
3500105;Adamantina;350019;Adamantina - Lucélia;3505;Presidente Prudente;35;São Paulo;3;Sudeste;;;411,99
3500204;Adolfo;350025;São José do Rio Preto;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;;;211,06
3500303;Aguaí;350044;São João da Boa Vista;3510;Campinas;35;São Paulo;3;Sudeste;;;474,55
3500402;Águas da Prata;350044;São João da Boa Vista;3510;Campinas;35;São Paulo;3;Sudeste;;;142,67
3500501;Águas de Lindóia;350048;Amparo;3510;Campinas;35;São Paulo;3;Sudeste;;;60,13
3500550;Águas de Santa Bárbara;350007;Avaré;3502;Sorocaba;35;São Paulo;3;Sudeste;;;404,46
3500600;Águas de São Pedro;350040;Piracicaba;3510;Campinas;35;São Paulo;3;Sudeste;;;3,61
3500709;Agudos;350009;Bauru;3503;Bauru;35;São Paulo;3;Sudeste;;;966,71
3500758;Alambari;350006;Itapetininga;3502;Sorocaba;35;São Paulo;3;Sudeste;3522307;Itapetininga/SP;159,60
3500808;Alfredo Marcondes;350018;Presidente Prudente;3505;Presidente Prudente;35;São Paulo;3;Sudeste;3541406;Presidente Prudente/SP;118,92
3500907;Altair;350025;São José do Rio Preto;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;;;313,01
3501004;Altinópolis;350031;Ribeirão Preto;3508;Ribeirão Preto;35;São Paulo;3;Sudeste;;;928,96
3501103;Alto Alegre;350023;Birigui - Penápolis;3506;Araçatuba;35;São Paulo;3;Sudeste;;;318,57
3501152;Alumínio;350003;Sorocaba;3502;Sorocaba;35;São Paulo;3;Sudeste;3552205;Sorocaba/SP;83,62
3501202;Álvares Florence;350027;Votuporanga;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;;;362,41
3501301;Álvares Machado;350018;Presidente Prudente;3505;Presidente Prudente;35;São Paulo;3;Sudeste;3541406;Presidente Prudente/SP;347,65
3501400;Álvaro de Carvalho;350013;Marília;3504;Marília;35;São Paulo;3;Sudeste;;;153,66
3501509;Alvinlândia;350013;Marília;3504;Marília;35;São Paulo;3;Sudeste;;;84,88
3501608;Americana;350038;Campinas;3510;Campinas;35;São Paulo;3;Sudeste;3501608;Americana - Santa Bárbara d´Oeste/SP;133,91
3501707;Américo Brasiliense;350036;Araraquara;3509;Araraquara;35;São Paulo;3;Sudeste;3503208;Araraquara/SP;122,96
3501806;Américo de Campos;350027;Votuporanga;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;;;252,88
3501905;Amparo;350048;Amparo;3510;Campinas;35;São Paulo;3;Sudeste;;;445,32
3502002;Analândia;350046;Rio Claro;3510;Campinas;35;São Paulo;3;Sudeste;;;325,95
3502101;Andradina;350024;Andradina;3506;Araçatuba;35;São Paulo;3;Sudeste;;;964,23
3502200;Angatuba;350006;Itapetininga;3502;Sorocaba;35;São Paulo;3;Sudeste;;;1027,29
3502309;Anhembi;350011;Botucatu;3503;Bauru;35;São Paulo;3;Sudeste;;;736,56
3502408;Anhumas;350018;Presidente Prudente;3505;Presidente Prudente;35;São Paulo;3;Sudeste;3541406;Presidente Prudente/SP;320,84
3502507;Aparecida;350052;Guaratinguetá;3511;São José dos Campos;35;São Paulo;3;Sudeste;3518404;Guaratinguetá/SP;120,89
3502606;Aparecida d'Oeste;350028;Jales;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;;;179,00
3502705;Apiaí;350004;Itapeva;3502;Sorocaba;35;São Paulo;3;Sudeste;;;974,32
3502754;Araçariguama;350003;Sorocaba;3502;Sorocaba;35;São Paulo;3;Sudeste;;;145,20
3502804;Araçatuba;350022;Araçatuba;3506;Araçatuba;35;São Paulo;3;Sudeste;3502804;Araçatuba;1167,13
3502903;Araçoiaba da Serra;350003;Sorocaba;3502;Sorocaba;35;São Paulo;3;Sudeste;3552205;Sorocaba/SP;255,31
3503000;Aramina;350035;Ituverava;3508;Ribeirão Preto;35;São Paulo;3;Sudeste;;;202,83
3503109;Arandu;350007;Avaré;3502;Sorocaba;35;São Paulo;3;Sudeste;;;285,91
3503158;Arapeí;350053;Cruzeiro;3511;São José dos Campos;35;São Paulo;3;Sudeste;;;156,90
3503208;Araraquara;350036;Araraquara;3509;Araraquara;35;São Paulo;3;Sudeste;3503208;Araraquara/SP;1003,63
3503307;Araras;350045;Araras;3510;Campinas;35;São Paulo;3;Sudeste;3503307;Araras;644,83
3503356;Arco-Íris;350016;Tupã;3504;Marília;35;São Paulo;3;Sudeste;;;264,90
3503406;Arealva;350009;Bauru;3503;Bauru;35;São Paulo;3;Sudeste;;;506,23
3503505;Areias;350053;Cruzeiro;3511;São José dos Campos;35;São Paulo;3;Sudeste;;;305,23
3503604;Areiópolis;350011;Botucatu;3503;Bauru;35;São Paulo;3;Sudeste;;;85,91
3503703;Ariranha;350026;Catanduva;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;;;132,62
3503802;Artur Nogueira;350038;Campinas;3510;Campinas;35;São Paulo;3;Sudeste;;;178,03
3503901;Arujá;350001;São Paulo;3501;São Paulo;35;São Paulo;3;Sudeste;3550308;São Paulo/SP;96,17
3503950;Aspásia;350028;Jales;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;;;69,37
3504008;Assis;350014;Assis;3504;Marília;35;São Paulo;3;Sudeste;;;460,61
3504107;Atibaia;350041;Bragança Paulista;3510;Campinas;35;São Paulo;3;Sudeste;3504107;Atibaia/SP;478,52
3504206;Auriflama;350022;Araçatuba;3506;Araçatuba;35;São Paulo;3;Sudeste;;;434,50
3504305;Avaí;350009;Bauru;3503;Bauru;35;São Paulo;3;Sudeste;;;540,69
3504404;Avanhandava;350023;Birigui - Penápolis;3506;Araçatuba;35;São Paulo;3;Sudeste;;;338,37
3504503;Avaré;350007;Avaré;3502;Sorocaba;35;São Paulo;3;Sudeste;;;1213,06
3504602;Bady Bassitt;350025;São José do Rio Preto;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;3549805;São José do Rio Preto/SP;110,37
3504701;Balbinos;350009;Bauru;3503;Bauru;35;São Paulo;3;Sudeste;;;91,64
3504800;Bálsamo;350025;São José do Rio Preto;3507;São José do Rio Preto;35;São Paulo;3;Sudeste;3549805;São José do Rio Preto/SP;149,88
3504909;Bananal;350053;Cruzeiro;3511;São José dos Campos;35;São Paulo;3;Sudeste;;;616,43
3505005;Barão de Antonina;350004;Itapeva;3502;Sorocaba;35;São Paulo;3;Sudeste;;;153,14
3505104;Barbosa;350023;Birigui - Penápolis;3506;Araçatuba;35;São Paulo;3;Sudeste;;;205,21
3505203;Bariri;350010;Jaú;3503;Bauru;35;São Paulo;3;Sudeste;;;444,41
3505302;Barra Bonita;350010;Jaú;3503;Bauru;35;São Paulo;3;Sudeste;;;150,12
3505351;Barra do Chapéu;350004;Itapeva;3502;Sorocaba;35;São Paulo;3;Sudeste;;;405,68
